file,pages,chars,chars_per_page,empty_frac,class,note
КР784_1.pdf,55,73164,1330.3,0.036,OK,
КР788_1.pdf,62,82518,1330.9,0.016,OK,
КР652_2.pdf,40,53334,1333.3,0.05,OK,
КР974_1.pdf,32,42675,1333.6,0.031,OK,
КР901_1.pdf,67,89426,1334.7,0.03,OK,
КР622_5.pdf,68,90785,1335.1,0.029,OK,
КР820_1.pdf,54,72171,1336.5,0.093,OK,
КР987_1.pdf,29,38820,1338.6,0.034,OK,
КР812_1.pdf,36,48281,1341.1,0.028,OK,
КР989_1.pdf,45,60435,1343.0,0.0,OK,
КР990_1.pdf,16,21488,1343.0,0.062,OK,
КР815_1.pdf,42,56486,1344.9,0.024,OK,
КР344_2.pdf,59,79378,1345.4,0.017,OK,
КР906_1.pdf,43,57861,1345.6,0.047,OK,
КР653_1.pdf,55,74016,1345.7,0.055,OK,
КР494_3.pdf,74,99705,1347.4,0.041,OK,
КР930_1.pdf,43,58021,1349.3,0.047,OK,
КР898_1.pdf,159,214981,1352.1,0.013,OK,
КР703_2.pdf,47,63588,1352.9,0.043,OK,
КР317_2.pdf,75,101522,1353.6,0.013,OK,
КР962_1.pdf,38,51438,1353.6,0.026,OK,
КР92_2.pdf,64,86651,1353.9,0.062,OK,
КР314_3.pdf,48,65099,1356.2,0.021,OK,
КР178_2.pdf,62,84151,1357.3,0.016,OK,
КР149_2.pdf,45,61132,1358.5,0.0,OK,
КР241_3.pdf,32,43487,1359.0,0.0,OK,
КР1040_1.pdf,48,65414,1362.8,0.042,OK,
КР191_2.pdf,54,73619,1363.3,0.019,OK,
КР266_2.pdf,32,43714,1366.1,0.062,OK,
КР451_3.pdf,217,296607,1366.9,0.032,OK,
КР808_1.pdf,50,68564,1371.3,0.02,OK,
КР681_2.pdf,81,111088,1371.5,0.049,OK,
КР127_2.pdf,65,89280,1373.5,0.031,OK,
КР760_1.pdf,68,94018,1382.6,0.0,OK,
КР629_2.pdf,35,48410,1383.1,0.0,OK,
КР222_2.pdf,34,47091,1385.0,0.029,OK,
КР194_2.pdf,42,58202,1385.8,0.0,OK,
КР922_1.pdf,42,58250,1386.9,0.048,OK,
КР810_1.pdf,39,54096,1387.1,0.026,OK,
КР232_2.pdf,39,54117,1387.6,0.026,OK,
КР720_2.pdf,57,79147,1388.5,0.018,OK,
КР405_3.pdf,69,95864,1389.3,0.029,OK,
КР672_2.pdf,68,94511,1389.9,0.015,OK,
КР679_2.pdf,50,69497,1389.9,0.0,OK,
КР8_2.pdf,65,90560,1393.2,0.015,OK,
КР330_2.pdf,55,76640,1393.5,0.0,OK,
КР992_1.pdf,41,57174,1394.5,0.049,OK,
КР555_3.pdf,102,142251,1394.6,0.02,OK,
КР993_1.pdf,20,27899,1395.0,0.05,OK,
КР610_2.pdf,120,167483,1395.7,0.008,OK,
КР883_1.pdf,116,162018,1396.7,0.0,OK,
КР1042_1.pdf,53,74058,1397.3,0.038,OK,
КР635_2.pdf,37,51703,1397.4,0.054,OK,
КР938_1.pdf,57,79664,1397.6,0.018,OK,
КР740_3.pdf,64,89452,1397.7,0.062,OK,
КР944_1.pdf,56,78339,1398.9,0.018,OK,
КР1044_1.pdf,33,46191,1399.7,0.03,OK,
КР813_1.pdf,47,65810,1400.2,0.043,OK,
КР103_3.pdf,40,56013,1400.3,0.025,OK,
КР596_3.pdf,33,46232,1401.0,0.03,OK,
КР619_3.pdf,138,193332,1401.0,0.007,OK,
КР218_2.pdf,36,50444,1401.2,0.028,OK,
КР387_3.pdf,90,126163,1401.8,0.011,OK,
КР650_2.pdf,119,166846,1402.1,0.034,OK,
КР834_1.pdf,47,65928,1402.7,0.021,OK,
КР952_1.pdf,47,65948,1403.1,0.021,OK,
КР742_1.pdf,54,75874,1405.1,0.019,OK,
КР1030_1.pdf,40,56224,1405.6,0.025,OK,
КР598_3.pdf,79,111057,1405.8,0.0,OK,
КР175_3.pdf,35,49211,1406.0,0.029,OK,
КР76_2.pdf,186,261695,1407.0,0.005,OK,
КР908_1.pdf,72,101301,1407.0,0.028,OK,
КР977_1.pdf,39,54875,1407.1,0.051,OK,
КР929_1.pdf,41,57750,1408.5,0.049,OK,
КР263_2.pdf,35,49305,1408.7,0.0,OK,
КР332_2.pdf,50,70450,1409.0,0.0,OK,
КР108_2.pdf,42,59186,1409.2,0.048,OK,
КР623_5.pdf,34,47961,1410.6,0.0,OK,
КР718_2.pdf,64,90296,1410.9,0.031,OK,
КР967_1.pdf,47,66329,1411.3,0.0,OK,
КР670_2.pdf,44,62138,1412.2,0.023,OK,
КР450_3.pdf,70,98880,1412.6,0.014,OK,
КР771_1.pdf,53,74899,1413.2,0.0,OK,
КР325_2.pdf,52,73501,1413.5,0.0,OK,
КР937_1.pdf,62,87681,1414.2,0.0,OK,
КР32_2.pdf,65,91941,1414.5,0.015,OK,
КР648_2.pdf,68,96290,1416.0,0.015,OK,
КР475_3.pdf,80,113299,1416.2,0.037,OK,
КР954_1.pdf,42,59489,1416.4,0.024,OK,
КР660_2.pdf,50,70954,1419.1,0.0,OK,
КР313_3.pdf,49,69595,1420.3,0.041,OK,
КР518_3.pdf,47,66895,1423.3,0.0,OK,
КР213_3.pdf,46,65566,1425.3,0.043,OK,
